occurrenceID,plotCode,area,plateNumber,subplot,treeNumber,branchNumber,vernacularName,scientificName,x,y,dbh,TH,TBCP,TBCU,TBCD,TBHP,CBP,S1_death,S2_death,S3_death
65030EE5-EEDC-44EE-A362-1F9FABE79DD2,DJ-13,推移帶,15087,4,6,5,紅毛杜鵑,Rhododendron rubropilosum,970,150,1.8,1.5,0,0.65,0.3,31.67,100,1,1,1
344F60F9-C06B-44C1-A38D-C56E459AF4EB,DJ-14,推移帶,19611,1,1,1,臺灣二葉松,Pinus taiwanensis,480,420,12.5,9,0,0.6,0,3.33,50,1,1,1
5EFCD567-97C5-433B-90E6-8A9DD9FFFCDC,DJ-14,推移帶,19612,1,2,1,臺灣二葉松,Pinus taiwanensis,60,50,66,15,25,9,0.15,30.5,15,0,0,0
86A23800-955C-417B-9716-E9BAA31B9EBC,DJ-14,推移帶,19613,2,1,1,臺灣二葉松,Pinus taiwanensis,60,520,21.4,10.5,0,0.25,0.15,1.9,5,0,0,0
9578C171-7AD4-4898-8BF2-80225C0DE114,DJ-14,推移帶,19614,2,2,1,臺灣二葉松,Pinus taiwanensis,400,820,24.8,13,0,0,0,0,50,0,0,0
8EF0227B-81A2-4125-85AA-0271BBCC0FCE,DJ-14,推移帶,19615,3,1,1,高山櫟,Quercus spinosa,640,940,3,3.5,70,1,1,28.57,100,1,1,1
13B6C174-F6A4-4ADB-A090-15ED208CF476,DJ-14,推移帶,19616,3,1,2,高山櫟,Quercus spinosa,640,940,3.2,3.5,70,1,1,28.57,100,1,1,1
AAE5E4D2-F070-4618-81C1-430EC94BB58D,DJ-14,推移帶,19617,3,1,3,高山櫟,Quercus spinosa,640,940,3,3.5,70,1,1,28.57,100,1,1,1
530402BC-7069-4F62-94A0-4185E638956D,DJ-14,推移帶,19618,3,1,4,高山櫟,Quercus spinosa,640,940,3.7,3.5,70,1,1,28.57,100,1,1,1
48C56319-F177-4BC1-B4FC-5E0ABDCB4BFB,DJ-14,推移帶,19619,3,1,5,高山櫟,Quercus spinosa,640,940,2.9,3.5,70,1,1,28.57,100,1,1,1
